,CO_PPM,humidity,temperature,timestamp
-MvoX9YFPBzupg-pgRah,7.22203,42.0,23.5,1644780103.0
-MvoXBzQbZYdmnQeYu6r,6.94614,42.0,23.7,1644780113.0
-MvoXEQkFpyv1iXC-hRv,6.93263,43.0,24.0,1644780123.0
-MvoXGy4D_1cBctFp3hF,6.75948,44.0,24.6,1644780133.0
-MvoXJJKnBUjWlyqeolX,6.9596800000000005,43.0,25.2,1644780142.0
-MvoXLkg0GrU127nDBCs,7.09652,43.0,25.8,1644780152.0
-MvoXOBoIBw2IPl_3hmx,7.0827,42.0,26.3,1644780162.0
-MvoXQd6mZ_rf42ePKZF,6.89228,42.0,26.7,1644780172.0
-MvoXT4ILHRjU2I7sbBn,7.09652,41.0,27.0,1644780182.0
-MvoXVW_UAqJtgq0s5zI,7.0827,42.0,27.4,1644780192.0
-MvoXYHlY_5rmzv1DWVU,6.64222,41.0,27.7,1644780203.0
-MvoX_P3RVZ7qJFdCu7W,7.06892,40.0,27.9,1644780213.0
-MvoXbqOT9cxnxl7AEpA,7.09652,38.0,28.0,1644780223.0
-MvoXeHXwAwAfJu8R-Nb,6.77264,38.0,28.2,1644780233.0
-MvoXgit_YR66fDOZ0bs,6.78583,38.0,28.4,1644780243.0
-MvoXjAC8TrzTkpktIjk,7.1381,38.0,28.6,1644780253.0
-MvoXlgcVwX91xcP3z7N,6.85215,37.0,28.8,1644780263.0
-MvoXo2ebIe11HkLBVgj,7.04145,55.0,41.4,1644780273.0
-MvoXqVxRkwR6fLcviGz,7.02775,35.0,51.9,1644780283.0
-MvoXswA_sn-1PPAeBEf,7.22203,28.0,52.3,1644780293.0
-MvoXvNOaoqkmHinvJSF,7.20798,24.0,50.0,1644780303.0
-MvoXxoqTmOAXmae9wQV,7.16597,26.0,47.2,1644780313.0
-MvoY-JgK0oBQRv1q9Gw,6.81228,27.0,43.3,1644780323.0
-MvoY1hJ56aOywr9X7Tr,6.9596800000000005,32.0,40.3,1644780333.0
-MvoY48YZOaIM9nxpxx6,7.06892,39.0,34.9,1644780343.0
-MvoY6_hVxUDMQrUu-fe,6.72016,41.0,33.0,1644780353.0
